namespace_prefix	namespace_name	repository	repository_url	similarity	token_overlap	review_reason
bbtp	Blue Brain Project Topological sampling Knowledge Graph	biobricks-okg	https://github.com/biobricks-ai/biobricks-okg	0.439	graph,knowledge	no exact source/metadata evidence
ardb	Antibiotic Resistance Genes Database	antibiotic-resistance-rdf	https://github.com/biobricks-ai/antibiotic-resistance-rdf	0.438	antibiotic,resistance	no exact source/metadata evidence
bbtp	Blue Brain Project Topological sampling Knowledge Graph	brickyard-mcp	https://github.com/biobricks-ai/brickyard-mcp	0.438	graph,knowledge	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	oregano-rdf	https://github.com/biobricks-ai/oregano-rdf	0.436	graph,knowledge	no exact source/metadata evidence
bbtp	Blue Brain Project Topological sampling Knowledge Graph	okg.biobricks.ai	https://github.com/biobricks-ai/okg.biobricks.ai	0.434	graph,knowledge	no exact source/metadata evidence
smpdb	Small Molecule Pathway Database	biorxiv-benchmarking-of-small-molecule	https://github.com/biobricks-ai/biorxiv-benchmarking-of-small-molecule	0.427	molecule,small	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	biobricks-rdf	https://github.com/biobricks-ai/biobricks-rdf	0.423	graph,knowledge	no exact source/metadata evidence
lincs.smallmolecule	LINCS Small Molecule	SMRT	https://github.com/biobricks-ai/SMRT	0.415	molecule,small	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	brickyard-mcp	https://github.com/biobricks-ai/brickyard-mcp	0.414	graph,knowledge	no exact source/metadata evidence
pubchem.bioassay	PubChem-bioassay	pcba	https://github.com/biobricks-ai/pcba	0.410	bioassay,pubchem	no exact source/metadata evidence
lgic	Ligand-Gated Ion Channel database	ion-channel-cardiotox-benchmark	https://github.com/biobricks-ai/ion-channel-cardiotox-benchmark	0.406	channel,ion	no exact source/metadata evidence
sider.drug	SIDER Drug	hf-skfp-sider-rdf	https://github.com/biobricks-ai/hf-skfp-sider-rdf	0.396	drug,sider	no exact source/metadata evidence
covid19	SARS-CoV-2	avida-sarscov2-rdf	https://github.com/biobricks-ai/avida-sarscov2-rdf	0.395	cov,sars	no exact source/metadata evidence
cdpd	Canadian Drug Product Database	drugbank-products	https://github.com/biobricks-ai/drugbank-products	0.387	drug,product	no exact source/metadata evidence
pdb	Protein Data Bank	pdb	https://github.com/biobricks-ai/pdb	0.375	bank,pdb	no exact source/metadata evidence
odam	Open Data for Access and Mining	OpenStemDocs	https://github.com/biobricks-ai/OpenStemDocs	0.374	access,open	no exact source/metadata evidence
bbtp	Blue Brain Project Topological sampling Knowledge Graph	biobricks-rdf	https://github.com/biobricks-ai/biobricks-rdf	0.368	graph,knowledge	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	biobricks-kg-mcp	https://github.com/biobricks-ai/biobricks-kg-mcp	0.365	graph,knowledge	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	oregano	https://github.com/biobricks-ai/oregano	0.361	graph,knowledge	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	kg	https://github.com/biobricks-ai/kg	0.357	graph,knowledge	no exact source/metadata evidence
odam	Open Data for Access and Mining	reactome	https://github.com/biobricks-ai/reactome	0.356	access,open	no exact source/metadata evidence
cdpd	Canadian Drug Product Database	openfda	https://github.com/biobricks-ai/openfda	0.353	drug,product	no exact source/metadata evidence
dg.nacd	https://accessclinicaldata.niaid.nih.gov/	epa-https-pasteur-epa-gov-uploads-10-23	https://github.com/biobricks-ai/epa-https-pasteur-epa-gov-uploads-10-23	0.353	gov,https	no exact source/metadata evidence
aop.relationships	AOPWiki (Key Event Relationship)	AOP-experiment-guide	https://github.com/biobricks-ai/AOP-experiment-guide	0.351	aop,event,key,relationships	no exact source/metadata evidence
hp	Human Phenotype Ontology	hpo	https://github.com/biobricks-ai/hpo	0.348	ontology,phenotype	no exact source/metadata evidence
clo	Cell Line Ontology	jrc-high-content-imaging-analysis-of-heparg-cell-line	https://github.com/biobricks-ai/jrc-high-content-imaging-analysis-of-heparg-cell-line	0.347	cell,line	no exact source/metadata evidence
bbtp	Blue Brain Project Topological sampling Knowledge Graph	oregano-rdf	https://github.com/biobricks-ai/oregano-rdf	0.344	graph,knowledge	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	biobricks-wikidata	https://github.com/biobricks-ai/biobricks-wikidata	0.329	graph,knowledge	no exact source/metadata evidence
seed.reaction	SEED Reactions	ebi-rhea-reactions	https://github.com/biobricks-ai/ebi-rhea-reactions	0.329	reaction,reactions	no exact source/metadata evidence
bmrb	Biological Magnetic Resonance Data Bank	pdb	https://github.com/biobricks-ai/pdb	0.326	bank,biological	no exact source/metadata evidence
pubchem.substance	PubChem-substance	fda-substance	https://github.com/biobricks-ai/fda-substance	0.323	pubchem,substance	no exact source/metadata evidence
bbtp	Blue Brain Project Topological sampling Knowledge Graph	biobricks-kg-mcp	https://github.com/biobricks-ai/biobricks-kg-mcp	0.320	graph,knowledge	no exact source/metadata evidence
ecyano.experiment	E-cyanobacterium Experimental Data	AOP-experiment-guide	https://github.com/biobricks-ai/AOP-experiment-guide	0.319	experiment,experimental	no exact source/metadata evidence
pdb-ccd	Chemical Component Dictionary	pdb-ccd	https://github.com/biobricks-ai/pdb-ccd	0.318	ccd,pdb	no exact source/metadata evidence
sedml.language	SED-ML model format	ames-qsar-rdf	https://github.com/biobricks-ai/ames-qsar-rdf	0.315	format,model	no exact source/metadata evidence
napdi	Natural Product-Drug Interaction Research Data Repository	drugbank-products	https://github.com/biobricks-ai/drugbank-products	0.313	drug,product	no exact source/metadata evidence
ndc	National Drug Code	fda-ndc	https://github.com/biobricks-ai/fda-ndc	0.302	drug,ndc	no exact source/metadata evidence
